Date-Time,Total Water Use (mL),Rotations/sec,Number of Soap Events,Soap Start Time,Soap End Time
,,,,18_09_14,18_09_14
,,,,18_09_18,18_09_20
,,,,18_09_23,18_09_28
,,,,18_09_28,18_09_28
04_24_2018_18_09_43,2,0,1,,
04_24_2018_18_10_01,0,0,6,,
,,,,18_10_00,18_10_00
,,,,18_10_01,18_10_01
,,,,18_10_03,18_10_03
,,,,18_10_03,18_10_03
,,,,18_10_03,18_10_04
,,,,18_10_05,18_10_05
,,,,18_10_05,18_10_05
,,,,18_10_05,18_10_05
04_24_2018_18_10_18,0,0,11,,
,,,,18_10_06,18_10_06
,,,,18_10_06,18_10_06
,,,,18_10_06,18_10_07
,,,,18_10_07,18_10_07
,,,,18_10_07,18_10_07
,,,,18_10_07,18_10_08
,,,,18_10_08,18_10_08
,,,,18_10_08,18_10_08
,,,,18_10_09,18_10_09
,,,,18_10_09,18_10_09
,,,,18_10_10,18_10_10
,,,,18_10_10,18_10_10
,,,,18_10_10,18_10_11
,,,,18_10_11,18_10_11
,,,,18_10_11,18_10_11
,,,,18_10_11,18_10_12
,,,,18_10_12,18_10_13
,,,,18_10_13,18_10_13
04_24_2018_18_10_38,1,0,3,,
,,,,18_10_27,18_10_46
,,,,18_10_47,18_10_47
,,,,18_10_47,18_10_47
04_24_2018_18_10_52,1,0,0,,
04_24_2018_18_12_07,8,3,11,,
,,,,18_11_58,18_11_58
,,,,18_11_58,18_11_58
,,,,18_11_58,18_11_58
,,,,18_11_58,18_11_58
,,,,18_11_58,18_11_59
,,,,18_11_59,18_11_59
,,,,18_11_59,18_11_59
,,,,18_11_59,18_11_59
,,,,18_11_59,18_12_00
,,,,18_12_00,18_12_00
,,,,18_12_01,18_12_01
,,,,18_12_01,18_12_01
,,,,18_12_02,18_12_02
,,,,18_12_02,18_12_02
,,,,18_12_12,18_12_13
,,,,18_12_13,18_12_13
,,,,18_12_13,18_12_13
,,,,18_12_13,18_12_14
,,,,18_12_14,18_12_15
,,,,18_12_15,18_12_15
,,,,18_12_15,18_12_15
,,,,18_12_15,18_12_19
,,,,18_12_21,18_12_21
04_24_2018_18_12_53,5,2,1,,
,,,,18_12_33,18_12_58
04_24_2018_18_13_14,2,0,1,,
,,,,18_13_15,18_13_15
04_24_2018_18_13_32,27,12,10,,
,,,,18_13_27,18_13_39
,,,,18_13_39,18_13_39
,,,,18_13_40,18_13_41
,,,,18_13_41,18_13_41
,,,,18_13_42,18_13_42
,,,,18_13_42,18_13_42
,,,,18_13_46,18_13_46
,,,,18_13_46,18_13_46
,,,,18_13_46,18_13_47
,,,,18_13_47,18_13_47
,,,,18_13_49,18_13_49
,,,,18_13_49,18_13_50
,,,,18_13_50,18_13_50
04_24_2018_18_14_01,0,0,15,,
,,,,18_13_53,18_13_53
,,,,18_13_54,18_13_57
,,,,18_13_57,18_13_57
,,,,18_13_57,18_13_57
,,,,18_13_59,18_13_59
,,,,18_14_00,18_14_00
,,,,18_14_00,18_14_00
,,,,18_14_02,18_14_02
,,,,18_14_02,18_14_02
,,,,18_14_03,18_14_03
,,,,18_14_03,18_14_04
,,,,18_14_05,18_14_05
,,,,18_14_05,18_14_06
,,,,18_14_06,18_14_06
,,,,18_14_07,18_14_07
,,,,18_14_07,18_14_07
,,,,18_14_07,18_14_08
,,,,18_14_08,18_14_08
,,,,18_14_08,18_14_09
04_24_2018_18_14_16,0,0,7,,
,,,,18_14_09,18_14_09
,,,,18_14_09,18_14_10
,,,,18_14_10,18_14_10
,,,,18_14_11,18_14_11
,,,,18_14_11,18_14_12
,,,,18_14_12,18_14_13
,,,,18_14_13,18_14_13
,,,,18_14_14,18_14_16
,,,,18_14_16,18_14_18
04_24_2018_18_14_30,0,0,1,,
